Subject,Task,Space,ROI,Threshold,Stat Type,Activated Voxels across Whole Brain (counts),Activated Voxels within ROI (counts),Activated Voxels across Whole Brain (%),Activated Voxels within ROI (%),Activated ROI/WB (%),%Activated ROI/%Activated WB (ratio),Voxels in ROI (counts),Voxels in Whole Brain (counts),Dice Coefficient,Coverage T-map (%),Coverage Z-map (%),Coverage T-map ROI (%),Coverage Z-map ROI (%)
UPN007trial2,motor_run-01,Native,Whole-brain,Z=3.1,Z-stat,301446,42723,18.900,40.600,2.600,2.140,105054,1591247,N/A,N/A,N/A,N/A,N/A
UPN007trial2,motor_run-01,Native,Left,Z=3.1,Z-stat,126719,21620,15.600,41.300,2.600,2.640,52251,811967,N/A,N/A,N/A,N/A,N/A
UPN007trial2,motor_run-01,Native,Right,Z=3.1,Z-stat,183173,22358,21.800,40.000,2.600,1.830,55885,839621,N/A,N/A,N/A,N/A,N/A
UPN007trial2,motor_run-01,Native,Whole-brain,Z=2.35,Z-stat,499876,51356,31.400,48.800,3.200,1.550,105054,1591247,N/A,N/A,N/A,N/A,N/A
UPN007trial2,motor_run-01,Native,Left,Z=2.35,Z-stat,228046,25685,28.000,49.100,3.100,1.750,52251,811967,N/A,N/A,N/A,N/A,N/A
UPN007trial2,motor_run-01,Native,Right,Z=2.35,Z-stat,286138,27174,34.000,48.600,3.200,1.420,55885,839621,N/A,N/A,N/A,N/A,N/A
UPN007trial2,motor_run-01,Native,Whole-brain,p<0.05,TFCE,5702,1453,1.700,1.300,0.400,0.760,105054,318369,0.025,86.600,1.200,99.900,3.300
UPN007trial2,motor_run-01,Native,Left,p<0.05,TFCE,3150,916,2.400,1.700,0.700,0.700,52251,128965,0.037,92.500,1.900,100.000,4.200
UPN007trial2,motor_run-01,Native,Right,p<0.05,TFCE,2631,537,1.200,0.900,0.200,0.750,55885,207524,0.017,77.800,0.800,99.800,2.300
UPN007trial2,motor_run-01,MNI,Whole-brain,Z=3.1,Z-stat,23792,4375,10.000,26.800,1.800,2.680,16267,237178,N/A,N/A,N/A,N/A,N/A
UPN007trial2,motor_run-01,MNI,Left,Z=3.1,Z-stat,10452,2337,8.700,28.400,1.900,3.260,8219,119164,N/A,N/A,N/A,N/A,N/A
UPN007trial2,motor_run-01,MNI,Right,Z=3.1,Z-stat,13822,2184,11.200,25.600,1.700,2.280,8517,122635,N/A,N/A,N/A,N/A,N/A
UPN007trial2,motor_run-01,MNI,Whole-brain,Z=2.35,Z-stat,40359,5325,17.000,32.700,2.200,1.920,16267,237178,N/A,N/A,N/A,N/A,N/A
UPN007trial2,motor_run-01,MNI,Left,Z=2.35,Z-stat,18377,2801,15.400,34.000,2.300,2.200,8219,119164,N/A,N/A,N/A,N/A,N/A
UPN007trial2,motor_run-01,MNI,Right,Z=2.35,Z-stat,22905,2699,18.600,31.600,2.200,1.690,8517,122635,N/A,N/A,N/A,N/A,N/A
UPN007trial2,motor_run-01,MNI,Whole-brain,p<0.05,TFCE,450,96,1.800,0.500,0.300,0.270,16267,24135,0.020,94.000,1.000,100.000,2.100
UPN007trial2,motor_run-01,MNI,Left,p<0.05,TFCE,249,76,2.400,0.900,0.700,0.370,8219,10023,0.031,97.900,1.600,100.000,3.200
UPN007trial2,motor_run-01,MNI,Right,p<0.05,TFCE,211,20,1.400,0.200,0.100,0.140,8517,15003,0.013,87.600,0.700,100.000,0.900
